reading_id,timestamp,temperature_C,vibration_mm_s,status,reason
14,2026-09-15 13:33:04,71.51,5.43,ALERT,High vibration (5.43 mm/s > 5.0 mm/s)
22,2026-09-15 13:37:04,80.32,5.38,ALERT,High temperature (80.32 C > 80.0 C); High vibration (5.38 mm/s > 5.0 mm/s)
41,2026-09-15 13:46:34,93.36,7.64,ALERT,High temperature (93.36 C > 80.0 C); High vibration (7.64 mm/s > 5.0 mm/s)
42,2026-09-15 13:47:04,90.27,7.39,ALERT,High temperature (90.27 C > 80.0 C); High vibration (7.39 mm/s > 5.0 mm/s)
43,2026-09-15 13:47:34,91.36,7.65,ALERT,High temperature (91.36 C > 80.0 C); High vibration (7.65 mm/s > 5.0 mm/s)
52,2026-09-15 13:52:04,86.78,6.34,ALERT,High temperature (86.78 C > 80.0 C); High vibration (6.34 mm/s > 5.0 mm/s)
62,2026-09-15 13:57:04,94.06,6.93,ALERT,High temperature (94.06 C > 80.0 C); High vibration (6.93 mm/s > 5.0 mm/s)
81,2026-09-15 14:06:34,94.85,5.78,ALERT,High temperature (94.85 C > 80.0 C); High vibration (5.78 mm/s > 5.0 mm/s)
94,2026-09-15 14:13:04,71.12,7.45,ALERT,High vibration (7.45 mm/s > 5.0 mm/s)
117,2026-09-15 14:24:34,88.65,7.56,ALERT,High temperature (88.65 C > 80.0 C); High vibration (7.56 mm/s > 5.0 mm/s)
125,2026-09-15 14:28:34,77.32,7.01,ALERT,High vibration (7.01 mm/s > 5.0 mm/s)
138,2026-09-15 14:35:04,84.57,7.36,ALERT,High temperature (84.57 C > 80.0 C); High vibration (7.36 mm/s > 5.0 mm/s)
165,2026-09-15 14:48:34,83.06,8.25,ALERT,High temperature (83.06 C > 80.0 C); High vibration (8.25 mm/s > 5.0 mm/s)
188,2026-09-15 15:00:04,84.01,5.17,ALERT,High temperature (84.01 C > 80.0 C); High vibration (5.17 mm/s > 5.0 mm/s)
