reading_id,timestamp,temperature_C,vibration_mm_s,status
1,2026-09-15 13:26:34,59.28,1.9,OK
2,2026-09-15 13:27:04,61.37,2.97,OK
3,2026-09-15 13:27:34,61.66,1.84,OK
4,2026-09-15 13:28:04,63.45,2.08,OK
5,2026-09-15 13:28:34,63.28,2.07,OK
6,2026-09-15 13:29:04,56.61,1.88,OK
7,2026-09-15 13:29:34,60.21,1.94,OK
8,2026-09-15 13:30:04,58.54,1.48,OK
9,2026-09-15 13:30:34,64.37,1.86,OK
10,2026-09-15 13:31:04,67.96,2.66,OK
11,2026-09-15 13:31:34,62.84,1.09,OK
12,2026-09-15 13:32:04,64.81,1.9,OK
13,2026-09-15 13:32:34,63.32,1.27,OK
14,2026-09-15 13:33:04,71.51,5.43,ALERT
15,2026-09-15 13:33:34,63.19,2.21,OK
16,2026-09-15 13:34:04,58.76,2.84,OK
17,2026-09-15 13:34:34,57.65,2.3,OK
18,2026-09-15 13:35:04,66.66,1.66,OK
19,2026-09-15 13:35:34,63.84,2.85,OK
20,2026-09-15 13:36:04,49.03,3.24,OK
21,2026-09-15 13:36:34,52.89,1.68,OK
22,2026-09-15 13:37:04,80.32,5.38,ALERT
23,2026-09-15 13:37:34,62.9,3.39,OK
24,2026-09-15 13:38:04,57.11,2.8,OK
25,2026-09-15 13:38:34,64.76,1.66,OK
26,2026-09-15 13:39:04,60.14,2.77,OK
27,2026-09-15 13:39:34,50.79,1.35,OK
28,2026-09-15 13:40:04,63.32,4.04,OK
29,2026-09-15 13:40:34,61.31,2.1,OK
30,2026-09-15 13:41:04,53.83,1.24,OK
31,2026-09-15 13:41:34,64.52,2.23,OK
32,2026-09-15 13:42:04,46.91,1.71,OK
33,2026-09-15 13:42:34,67.97,2.07,OK
34,2026-09-15 13:43:04,56.17,1.89,OK
35,2026-09-15 13:43:34,64.08,2.41,OK
36,2026-09-15 13:44:04,69.79,1.65,OK
37,2026-09-15 13:44:34,56.86,2.0,OK
38,2026-09-15 13:45:04,62.89,1.63,OK
39,2026-09-15 13:45:34,57.77,1.78,OK
40,2026-09-15 13:46:04,51.58,1.74,OK
41,2026-09-15 13:46:34,93.36,7.64,ALERT
42,2026-09-15 13:47:04,90.27,7.39,ALERT
43,2026-09-15 13:47:34,91.36,7.65,ALERT
44,2026-09-15 13:48:04,63.93,2.49,OK
45,2026-09-15 13:48:34,59.04,3.21,OK
46,2026-09-15 13:49:04,61.48,2.73,OK
47,2026-09-15 13:49:34,61.31,2.49,OK
48,2026-09-15 13:50:04,56.84,1.48,OK
49,2026-09-15 13:50:34,62.58,2.29,OK
